Title,Genre,Description,Type,imdbRating
From Russia with Love,"Action, Adventure, Thriller",James Bond willingly falls into an assassination ploy involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by SPECTRE.,movie,7.5
Vanilla Sky,"Fantasy, Mystery, Romance",A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.,movie,6.9
Castle in the Sky,"Animation, Adventure, Family",A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,movie,8.1
Iron Sky,"Action, Comedy, Sci-Fi",The Nazis set up a secret base on the dark side of the moon in 1945 where they hide out and plan to return to power in 2018.,movie,5.9
Sky Captain and the World of Tomorrow,"Action, Adventure, Mystery","After New York City receives a series of attacks from giant flying robots, a reporter teams up with a pilot in search of their origin, as well as the reason for the disappearances of famous scientists around the world.",movie,6.1
October Sky,"Biography, Drama, Family","The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes.",movie,7.8
Sky High,"Adventure, Comedy, Family","Set in an era where superheroes are commonly known and accepted, young William Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being.",movie,6.2
Eye in the Sky,"Drama, Thriller, War","Col. Katherine Powell, a military officer in command of an operation to capture terrorists in Kenya, sees her mission escalate when a girl enters the kill zone triggering an international dispute over the implications of modern warfare.",movie,7.3
Fire in the Sky,"Biography, Drama, Fantasy",An Arizona logger mysteriously disappears for five days in an alleged encounter with a flying saucer in 1975.,movie,6.5
The Sheltering Sky,"Adventure, Drama","The American artist couple Port and Kit Moresby travel aimlessly through Africa, searching for new experiences that could give sense to their relationship. But the flight to distant regions only leads both deeper into despair.",movie,6.8
Sky Blue,"Action, Fantasy, Animation","Civilization has been destroyed by war and pollution, but the survivors have built the last city of Ecoban. As most natural resources have been exhausted, Ecoban is powered by pollution. ...",movie,6.8
Happy Gilmore,"Comedy, Sport",A rejected hockey player puts his skills to the golf course to save his grandmother's house.,movie,7.0
Happy Feet,"Animation, Comedy, Family","Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",movie,6.5
Happy Feet 2,"Animation, Comedy, Family","Mumble's son, Erik, is struggling to realize his talents in the Emperor Penguin world. Meanwhile, Mumble and his family and friends discover a new threat their home -- one that will take everyone working together to save them.",movie,5.9
Happy-Go-Lucky,"Comedy, Drama, Romance","A look at a few chapters in the life of Poppy, a cheery, colorful, North London schoolteacher whose optimism tends to exasperate those around her.",movie,7.0
Happy New Year,"Action, Comedy, Crime",A team of losers win the love of millions in their quest to pull off the biggest diamond heist ever by team India.,movie,5.3
Happy Together,"Drama, Romance",Yiu-Fai and Po-Wing arrive in Argentina from Hong Kong and take to the road for a holiday. Something is wrong and their relationship goes adrift. A disillusioned Yiu-Fai starts working at a...,movie,7.8
The Addams Family,"Comedy, Fantasy",Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.,movie,6.8
The Family,"Comedy, Crime, Thriller","The Manzoni family, a notorious mafia clan, is relocated to Normandy, France under the witness protection program, where fitting in soon becomes challenging as their old habits die hard.",movie,6.3
The Family Man,"Comedy, Drama, Fantasy","A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife.",movie,6.7
Addams Family Values,"Comedy, Fantasy",A comical Gothic horror-movie-type family tries to rescue their beloved uncle from his gold-digging new love.,movie,6.6
The Family Stone,"Comedy, Drama, Romance","An uptight, conservative businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life.",movie,6.3
Family Plot,"Comedy, Thriller",Lighthearted suspense film about a phony psychic/con artist and her taxi driver/private investigator boyfriend who encounter a pair of serial kidnappers while trailing a missing heir in California.,movie,6.8
The Nightmare Before Christmas,"Animation, Family, Fantasy","Jack Skellington, king of Halloween Town, discovers Christmas Town, but doesn't quite understand the concept.",movie,8.0
How the Grinch Stole Christmas,"Comedy, Family, Fantasy","On the outskirts of Whoville, there lives a green, revenge-seeking Grinch who plans on ruining the Christmas holiday for all of the citizens of the town.",movie,6.0
National Lampoon's Christmas Vacation,"Comedy, Family",The Griswold family's plans for a big family Christmas predictably turn into a big disaster.,movie,7.6
A Christmas Story,"Comedy, Family","In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher, and Santa that a Red Ryder B.B. gun really is the perfect Christmas gift.",movie,8.0
A Christmas Carol,"Animation, Drama, Family","An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",movie,6.8
A Very Harold & Kumar 3D Christmas,"Adventure, Comedy","Six years after their Guantanamo Bay adventure, stoner buds Harold Lee and Kumar Patel cause a holiday fracas by inadvertently burning down Harold's father-in-law's prize Christmas tree.",movie,6.3
Arthur Christmas,"Animation, Adventure, Comedy",Santa's clumsy son Arthur gets put on a mission with St. Nick's father to give out a present they misplaced to a young girl in less than 2 hours.,movie,7.1
The Muppet Christmas Carol,"Comedy, Drama, Family",The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,movie,7.7
How the Grinch Stole Christmas!,"Animation, Comedy, Family",A grumpy hermit hatches a plan to steal Christmas from the Whos of Whoville.,movie,8.4
Christmas with the Kranks,"Comedy, Family","With their daughter away, the Kranks decide to skip Christmas altogether until she decides to come home, causing an uproar when they have to celebrate the holiday at the last minute.",movie,5.2
